lambda,risk
0,0.000939812
0.005,0.00103979
0.01,0.00119976
0.015,0.00123975
0.02,0.0014797
0.025,0.00185963
0.03,0.00213957
0.035,0.00281944
0.04,0.00307939
0.045,0.00327935
0.05,0.0035193
0.055,0.00407919
0.06,0.00443912
0.065,0.00505899
0.07,0.00535893
0.075,0.00631874
0.08,0.00719856
0.085,0.00803839
0.09,0.0084783
0.095,0.00975805
0.1,0.0112377
0.105,0.0126375
0.11,0.0134373
0.115,0.015037
0.12,0.0155969
0.125,0.0160568
0.13,0.0172365
0.135,0.0189362
0.14,0.0209958
0.145,0.0236553
0.15,0.0255549
0.155,0.0283743
0.16,0.0311138
0.165,0.0338732
0.17,0.0369326
0.175,0.0387723
0.18,0.0423516
0.185,0.0460708
0.19,0.0505499
0.195,0.0544291
0.2,0.0575685
0.205,0.0620876
0.21,0.065387
0.215,0.070406
0.22,0.075645
0.225,0.080744
0.23,0.0866828
0.235,0.0935015
0.24,0.0995803
0.245,0.105959
0.25,0.113297
0.255,0.120956
0.26,0.129254
0.265,0.136173
0.27,0.144491
0.275,0.152749
0.28,0.158808
0.285,0.167746
0.29,0.175885
0.295,0.183663
0.3,0.192261
0.305,0.19986
0.31,0.209218
0.315,0.217736
0.32,0.226934
0.325,0.236272
0.33,0.24563
0.335,0.256788
0.34,0.265966
0.345,0.278644
0.35,0.288802
0.355,0.301239
0.36,0.311037
0.365,0.323095
0.37,0.335572
0.375,0.34529
0.38,0.355608
0.385,0.364986
0.39,0.374405
0.395,0.386262
0.4,0.39654
0.405,0.408078
0.41,0.416857
0.415,0.427414
0.42,0.437253
0.425,0.44819
0.43,0.456429
0.435,0.465367
0.44,0.474766
0.445,0.482284
0.45,0.491942
0.455,0.50094
0.46,0.509698
0.465,0.517916
0.47,0.526394
0.475,0.532473
0.48,0.541311
0.485,0.54743
0.49,0.554269
0.495,0.560707
0.5,0.565906
0.505,0.573265
0.51,0.579123
0.515,0.585182
0.52,0.590201
0.525,0.59574
0.53,0.600879
0.535,0.605658
0.54,0.610877
0.545,0.615596
0.55,0.619416
0.555,0.623235
0.56,0.628374
0.565,0.630993
0.57,0.634972
0.575,0.638312
0.58,0.640691
0.585,0.64451
0.59,0.64653
0.595,0.648369
0.6,0.650789
0.605,0.652069
0.61,0.654148
0.615,0.656008
0.62,0.657247
0.625,0.659467
0.63,0.660467
0.635,0.661847
0.64,0.663326
0.645,0.665386
0.65,0.667425
0.655,0.668745
0.66,0.669505
0.665,0.670405
0.67,0.670945
0.675,0.671905
0.68,0.672904
0.685,0.674044
0.69,0.674484
0.695,0.674964
0.7,0.675224
0.705,0.675624
0.71,0.676784
0.714999,0.677644
0.719999,0.678103
0.724999,0.678863
0.729999,0.679203
0.734999,0.679343
0.739999,0.679543
0.744999,0.679923
0.749999,0.680423
0.754999,0.680623
0.759999,0.680923
0.764999,0.681163
0.769999,0.681363
0.774999,0.681523
0.779999,0.681863
0.784999,0.682202
0.789999,0.682582
0.794999,0.683282
0.799999,0.683782
0.804999,0.683982
0.809999,0.684162
0.814999,0.684162
0.819999,0.684162
0.824999,0.684482
0.829999,0.684622
0.834999,0.684802
0.839999,0.684802
0.844999,0.684802
0.849999,0.684802
0.854999,0.684802
0.859999,0.684922
0.864999,0.685122
0.869999,0.685202
0.874999,0.685202
0.879999,0.685202
0.884999,0.685362
0.889999,0.685642
0.894999,0.685642
0.899999,0.685642
0.904999,0.685642
0.909999,0.685642
0.914999,0.685642
0.919999,0.685642
0.924999,0.685642
0.929999,0.685722
0.934999,0.685722
0.939999,0.685922
0.944999,0.685922
0.949999,0.685922
0.954999,0.685922
0.959999,0.685922
0.964999,0.685922
0.969999,0.685922
0.974999,0.685922
0.979999,0.685922
0.984999,0.685922
0.989999,0.685922
0.994999,0.685922
0.999999,0.685922
1.005,0.686042
1.01,0.686042
1.015,0.686042
1.02,0.686042
1.025,0.686042
1.03,0.686042
1.035,0.686042
1.04,0.686042
1.045,0.686042
1.05,0.686042
1.055,0.686042
1.06,0.686042
1.065,0.686042
1.07,0.686042
1.075,0.686042
1.08,0.686042
1.085,0.686042
1.09,0.686042
1.095,0.686042
1.1,0.686042
1.105,0.686042
1.11,0.686042
1.115,0.686042
1.12,0.686042
1.125,0.686042
1.13,0.686042
1.135,0.686042
1.14,0.686042
1.145,0.686042
1.15,0.686042
1.155,0.686042
1.16,0.686042
1.165,0.686042
1.17,0.686042
1.175,0.686042
1.18,0.686042
1.185,0.686042
1.19,0.686042
1.195,0.686042
1.2,0.686042
1.205,0.686042
1.21,0.686042
1.215,0.686042
1.22,0.686042
1.225,0.686042
1.23,0.686042
1.235,0.686042
1.24,0.686042
1.245,0.686042
1.25,0.686042
1.255,0.686042
1.26,0.686042
1.265,0.686042
1.27,0.686042
1.275,0.686042
1.28,0.686042
1.285,0.686042
1.29,0.686042
1.295,0.686042
1.3,0.686042
1.305,0.686042
1.31,0.686042
1.315,0.686042
1.32,0.686042
1.325,0.686042
1.33,0.686042
1.335,0.686042
1.34,0.686042
1.345,0.686042
1.35,0.686042
1.355,0.686042
1.36,0.686042
1.365,0.686042
1.37,0.686042
1.375,0.686042
1.38,0.686042
1.385,0.686042
1.39,0.686042
1.395,0.686042
1.4,0.686042
1.405,0.686042
1.41,0.686042
1.415,0.686042
1.42,0.686042
1.425,0.686042
1.43,0.686042
1.435,0.686042
1.44,0.686042
1.445,0.686042
1.45,0.686042
1.455,0.686042
1.46,0.686042
1.465,0.686042
1.47,0.686042
1.475,0.686042
1.48,0.686042
1.485,0.686042
1.49,0.686042
1.495,0.686042
1.5,0.686042
